Scenario,Variable,Region_From,Region_To,Value
Benchmark,PA,A,,296.6666666666667
Benchmark,PA,B,,223.0
Benchmark,YA,A,,1200.0
Benchmark,YA,B,,2000.0
Benchmark,YM,A,A,800.0
Benchmark,YM,A,B,200.0
Benchmark,YM,B,A,400.0
Benchmark,YM,B,B,1800.0
Benchmark,PM,A,A,290.0
Benchmark,PM,A,B,250.0
Benchmark,PM,B,A,310.0
Benchmark,PM,B,B,220.0
Double_TC_BA,PA,A,,326.6666666666667
Double_TC_BA,PA,B,,223.0
Double_TC_BA,YA,A,,1078.6516853932585
Double_TC_BA,YA,B,,2000.0
Double_TC_BA,YM,A,A,719.1011235955057
Double_TC_BA,YM,A,B,200.0
Double_TC_BA,YM,B,A,359.55056179775283
Double_TC_BA,YM,B,B,1800.0
Double_TC_BA,PM,A,A,290.0
Double_TC_BA,PM,A,B,250.0
Double_TC_BA,PM,B,A,400.0
Double_TC_BA,PM,B,B,220.0
